iter	Logloss
0	0.6930327393
1	0.69303125
2	0.6929738525
3	0.6929193848
4	0.6928551392
5	0.692813269
6	0.6927686646
7	0.6927213257
8	0.6926885132
9	0.6926496094
10	0.6926207397
11	0.6925940918
12	0.6925192627
13	0.6924719849
14	0.6924374146
15	0.692384375
16	0.6923424072
17	0.6922898682
18	0.6922630737
19	0.6922348022
20	0.6922049561
21	0.6921470581
22	0.6921267578
23	0.6920877441
24	0.692035144
25	0.6919942871
26	0.6919464844
27	0.6918981201
28	0.6918318604
29	0.691802832
30	0.6917375977
31	0.6916702881
32	0.6916460449
33	0.6915838013
34	0.691504187
35	0.6914815918
36	0.6914386719
37	0.6913771118
38	0.6913368286
39	0.6912896484
40	0.6912192505
41	0.6911593262
42	0.6911145386
43	0.6910574829
44	0.6910061768
45	0.6909559082
46	0.6909065186
47	0.6908558716
48	0.6908054199
49	0.6907575317
50	0.690713208
51	0.6906733032
52	0.6906232788
53	0.6905581787
54	0.6904946411
55	0.6904547729
56	0.690397522
57	0.6903740845
58	0.6903049927
59	0.6902109497
60	0.6901679321
61	0.6901194092
62	0.6900743896
63	0.689997937
64	0.6899224731
65	0.6898486084
66	0.6898119019
67	0.6897473022
68	0.6897166626
69	0.6896877441
70	0.6896492676
71	0.6895873169
72	0.6895038818
73	0.6894751953
74	0.689418103
75	0.6893615845
76	0.6893337769
77	0.6893202759
78	0.689265918
79	0.6892125977
80	0.6891693115
81	0.6891270996
82	0.6890686523
83	0.6889816284
84	0.6889625
85	0.6889240601
86	0.6889032471
87	0.6888550293
88	0.6888096558
89	0.6887530762
90	0.6887094482
91	0.6886677734
92	0.6886121094
93	0.6885746826
94	0.688534082
95	0.6884793823
96	0.6884466675
97	0.6884078979
98	0.6883593872
99	0.6883368408
