iter	Passed	Remaining
0	19	1937
1	37	1851
2	54	1771
3	73	1759
4	90	1719
5	108	1705
6	127	1689
7	143	1651
8	159	1613
9	175	1583
10	192	1554
11	209	1532
12	225	1510
13	243	1493
14	259	1472
15	277	1456
16	293	1433
17	311	1417
18	328	1399
19	345	1382
20	363	1367
21	382	1356
22	398	1334
23	415	1315
24	433	1299
25	449	1279
26	466	1262
27	482	1241
28	499	1223
29	514	1200
30	531	1184
31	548	1165
32	563	1143
33	579	1125
34	596	1106
35	611	1086
36	627	1068
37	643	1049
38	658	1029
39	676	1015
40	693	998
41	710	981
42	726	963
43	743	945
44	758	927
45	774	909
46	791	892
47	808	875
48	824	858
49	840	840
50	857	823
51	873	806
52	889	788
53	908	773
54	925	757
55	941	740
56	958	723
57	974	705
58	991	689
59	1007	671
60	1022	653
61	1037	635
62	1053	618
63	1070	602
64	1087	585
65	1105	569
66	1121	552
67	1136	534
68	1151	517
69	1167	500
70	1183	483
71	1201	467
72	1217	450
73	1232	432
74	1249	416
75	1265	399
76	1281	382
77	1296	365
78	1313	349
79	1329	332
80	1345	315
81	1361	298
82	1379	282
83	1399	266
84	1414	249
85	1431	233
86	1446	216
87	1463	199
88	1479	182
89	1496	166
90	1513	149
91	1530	133
92	1548	116
93	1565	99
94	1581	83
95	1599	66
96	1615	49
97	1632	33
98	1650	16
99	1666	0
