,treatment,target,uplift
23218,0,1,0.16999999999999993
20731,0,0,0.99
39555,0,0,0.009999999999999998
147506,1,0,0.0
314215,1,1,0.97
190913,1,1,-0.050000000000000044
296715,1,0,0.02
141482,1,0,0.07
49119,0,0,0.01
208005,0,0,0.01
357337,0,0,0.01
391118,0,0,0.07
358922,1,1,-0.010000000000000009
114136,0,0,0.019999999999999997
65706,1,0,-0.01
363838,1,1,0.97
28871,1,0,0.10000000000000003
224830,1,0,0.0
99085,0,0,0.01
257076,0,0,-0.02
226523,0,1,0.06000000000000005
381071,0,0,0.01
202954,0,0,0.9299999999999999
370109,1,0,0.05
317625,0,0,0.05
189980,1,0,-0.01
346725,0,0,0.0
215008,1,0,0.03
358313,0,0,0.07
100074,1,0,0.01
66465,1,1,-0.06000000000000005
359345,0,1,0.040000000000000036
327506,0,0,0.01
143393,0,0,0.0
10817,1,0,-0.11
252178,1,0,0.0
384627,1,0,0.01
387512,0,1,0.26
366149,1,1,0.83
12872,0,0,0.03
119488,0,1,0.03
347998,0,0,-0.01
15506,0,0,0.0
131539,1,0,-0.01
65757,0,0,-0.010000000000000009
211905,1,0,-0.03
112108,1,1,0.10000000000000009
209782,1,0,0.04
154749,1,1,-0.010000000000000009
290452,0,0,0.0
68724,1,1,-0.06000000000000005
141498,0,1,-0.29000000000000004
295068,1,0,0.03
34840,1,1,1.0
137645,1,0,0.02
124552,1,0,0.02
72935,1,1,0.06000000000000005
61983,1,1,0.10999999999999999
73698,0,1,0.010000000000000009
308783,0,0,0.01
272347,1,1,0.98
246477,0,0,0.01
49012,1,1,0.57
5789,1,0,0.0
70967,0,0,-0.02
153938,0,0,0.0
62414,1,0,0.01
393318,1,1,0.95
380078,0,1,0.18000000000000005
111220,0,1,-0.020000000000000018
71917,0,0,0.0
305832,0,1,0.020000000000000018
323107,0,0,0.0
168838,0,0,0.01
352229,1,0,0.0
179310,1,0,0.03
265501,1,0,0.12
120115,1,0,0.0
137242,1,0,0.010000000000000009
168255,1,0,0.02
297387,1,0,0.04000000000000001
26378,0,0,0.0
105171,0,1,-0.020000000000000018
72798,1,0,0.02
236909,0,1,-0.10999999999999999
12581,0,0,0.01
271726,1,1,0.07000000000000006
193012,0,1,0.35
209080,0,0,0.0
17732,1,0,0.0
99649,0,1,0.08999999999999997
261507,1,1,0.040000000000000036
90866,1,0,0.02
63511,1,0,0.01
231710,1,0,0.0
3459,0,1,0.18000000000000005
186689,0,0,-0.01
398163,0,0,-0.019999999999999997
344196,0,0,0.019999999999999997
54451,1,0,0.0
56249,1,0,0.0
30414,1,1,0.020000000000000018
127595,0,0,0.08
363274,1,0,0.13000000000000003
78631,0,0,-0.020000000000000018
140636,1,0,0.14
236832,0,0,0.99
64863,0,0,0.05
79421,1,0,0.06
307966,1,0,0.0
178916,0,0,0.01
265006,1,0,0.01
220207,0,0,1.0
113867,1,1,0.07999999999999996
310823,1,0,0.0
353726,1,0,0.04
273330,1,1,0.030000000000000027
232314,1,1,0.51
386352,1,1,-0.22999999999999998
321266,1,1,-0.010000000000000009
124028,0,0,0.0
281022,1,0,-0.02
267255,0,0,0.05
314420,0,0,0.95
175766,1,0,0.01
340005,1,0,0.060000000000000005
296589,1,0,0.01
227337,0,0,0.01
102152,1,0,0.02
64441,0,0,0.0
318927,0,1,-0.020000000000000018
132620,0,0,0.01
96753,1,0,0.01
74043,1,0,-0.009999999999999981
279827,0,0,-0.009999999999999998
324297,1,0,0.0
189443,0,0,-0.01
53599,1,1,0.98
69101,1,0,0.0
235682,0,0,0.82
286169,1,0,0.01
65015,0,0,0.0
27170,1,0,-0.01
211695,0,0,0.01
334526,1,0,0.11
128817,1,1,-0.10000000000000009
385955,1,1,-0.09000000000000008
231472,0,0,0.02
326427,1,0,-0.02
395844,0,0,0.05
385786,0,0,0.01
275197,1,0,0.0
