treatment,conversion,active_days,gender,age,time_spent_in_app,used_discount,used_bogo,channel_Web,channel_phone,hours_listening,yandex_pay_balance
treatment1,0,19.322991164735193,0,37,2,1,0,0,0,6.783923383295329,4479.285987959148
control,1,5.964621219766141,0,38,1,0,1,0,0,6.31007481081289,3185.3136183894203
control,0,6.320536498468618,1,47,1,1,0,1,0,12.094144120740859,5918.833135179995
control,1,6.8564936032475154,1,39,1,0,1,1,0,7.504203341990646,3411.3545004856182
control,0,10.393211408555482,1,22,1,0,0,1,1,9.688063956605136,4920.378799489821
treatment1,1,15.456974216883403,1,38,2,0,0,0,0,13.365250917269297,5642.843069191377
control,0,10.375430321709366,0,43,1,0,1,0,0,9.615437857942194,4371.820757735376
treatment1,0,20.867138137713987,1,44,1,0,1,1,0,9.680806639879137,4787.739702596286
treatment1,0,17.955959122897738,0,31,1,0,0,0,1,3.9528509115138406,2565.7536356023857
control,0,4.1439253143582215,0,34,0,0,0,0,0,9.429707186575149,4841.344505103924
control,0,5.009554283802478,1,33,1,1,0,0,0,13.952948099833806,6962.503457194011
treatment1,1,22.49019687341232,1,31,2,0,1,1,0,7.913783563015816,3719.600208968837
treatment1,0,19.999658838381418,0,35,1,0,0,0,0,8.332996929950369,4454.500820940786
treatment1,0,23.038393801929917,0,54,1,0,0,0,0,10.741304816121291,4049.954573553106
control,0,13.508639598712499,0,26,2,0,0,0,0,8.803855507594061,3941.919826072125
treatment1,0,20.421906099756526,0,45,0,0,0,1,0,8.43375230967565,3423.772140088456
control,1,4.285144260668739,0,35,0,0,0,0,0,6.42381340000055,2621.6249709123867
treatment1,0,23.865658411844954,0,32,2,1,1,1,0,9.126103415809034,5408.541538181694
treatment1,0,25.086965187207788,0,31,1,0,1,0,1,5.881368858352621,3878.8134035534445
treatment1,0,26.332669734545284,0,25,1,0,0,1,0,10.156925944240376,4864.0880304615375
treatment1,1,19.75418327332044,0,33,2,0,0,1,0,10.699805741454005,4095.551704222417
control,1,7.296154978919693,0,42,0,1,0,1,0,4.416438828832539,4131.680298773211
control,0,7.016900931069401,0,28,1,0,0,1,0,11.33663403575541,4075.3689470992417
treatment1,0,20.178509033948856,1,42,0,1,0,0,0,6.164457321999448,4275.071060355882
control,1,6.955748953903945,0,41,0,0,0,0,1,12.598718930815568,5315.755180915744
treatment1,1,25.791107936003876,1,39,1,1,1,0,0,10.074894075817049,5994.575586953192
control,0,10.143431545694012,0,40,0,1,0,1,0,8.47730945947317,5187.056096060467
treatment1,1,22.990356085526283,0,33,0,0,1,0,0,10.190116396432632,3508.48821343146
treatment1,1,22.119004054051043,1,39,0,1,1,0,1,12.953365547454379,5945.409397479855
treatment1,0,18.78161959681463,0,44,0,1,0,1,0,12.10043243371189,7394.052222690175
control,0,9.578283836199722,0,50,1,1,1,0,0,10.7708921738344,5689.778849710331
control,1,6.430723062935537,0,46,1,1,0,0,0,8.162418806278124,5106.677204864545
